==> Checking the stock guest for the block's plumbing
==> Python 3.14.7;warning: database file for 'core' does not exist (use '-Sy' to download);warning: database file for 'extra' does not exist (use '-Sy' to download);warning: database file for 'multilib' does not exist (use '-Sy' to download);
==> Staging the suite and the block files in the guest
==> Running the Run lab suite in the guest session (1 run per scenario)
ok - the runlab job finished
ok - producer: 1 run(s), end 48 ms (48-48), Pss after-before 96 kB, survivors 0, to empty group 0, shadow hits 0
ok - producer-stream: 1 run(s), end 1896 ms (1896-1896), Pss after-before 85 kB, survivors 0, to empty group 0, shadow hits 0
ok - holder: 1 run(s), end 45 ms (45-45), Pss after-before 88 kB, survivors 0, to empty group 0, shadow hits 0
ok - stubborn: 1 run(s), end 3048 ms (3048-3048), Pss after-before 225 kB, survivors 0, to empty group 0, shadow hits 0
ok - hostile: 1 run(s), end 51 ms (51-51), Pss after-before 84 kB, survivors 0, to empty group 0, shadow hits 0
ok - destroy: 1 run(s), end 502 ms (502-502), Pss after-before 82 kB, survivors 0, to empty group 0, shadow hits 0
ok - cancel: 1 run(s), end 518 ms (518-518), Pss after-before 103 kB, survivors 0, to empty group 0, shadow hits 0
ok - supersede: 1 run(s), end 52 ms (52-52), Pss after-before 116 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string: 1 run(s), end 30 ms (30-30), Pss after-before 86 kB, survivors 0, to empty group 0, shadow hits 0
ok - relative: 1 run(s), end 29 ms (29-29), Pss after-before -58 kB, survivors 0, to empty group 0, shadow hits 0
ok - missing: 1 run(s), end 40 ms (40-40), Pss after-before 88 kB, survivors 0, to empty group 0, shadow hits 0
ok - controls: 1 run(s), end 46 ms (46-46), Pss after-before 11 kB, survivors 0, to empty group 0, shadow hits 0
ok - concurrency: 1 run(s), end 69 ms (69-69), Pss after-before 293 kB, survivors 0, to empty group 0, shadow hits 0
ok - forge: 1 run(s), end 29 ms (29-29), Pss after-before 76 kB, survivors 0, to empty group 0, shadow hits 0
ok - orphan: 1 run(s), end 27 ms (27-27), Pss after-before 76 kB, survivors 0, to empty group 0, shadow hits 0
ok - stalled-supersede: 1 run(s), end 48 ms (48-48), Pss after-before 100 kB, survivors 0, to empty group 0, shadow hits 0
ok - destroy-early: 1 run(s), end 301 ms (301-301), Pss after-before 67 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string-option: 1 run(s), end 27 ms (27-27), Pss after-before 75 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string-wrapper: 1 run(s), end 28 ms (28-28), Pss after-before -1 kB, survivors 0, to empty group 0, shadow hits 0
ok - Run lab suite: 19 scenarios, 19 runs, document at /tmp/omakit-runlab/runlab.json
ok - the Run block ran its lab scenarios on the stock guest, the shell untouched; document at /home/mtolhuijs/.local/state/omakit/lab/runs/20260919-143209-run/runlab.json
