==> Checking the stock guest for the block's plumbing
==> Python 3.14.7;warning: database file for 'core' does not exist (use '-Sy' to download);warning: database file for 'extra' does not exist (use '-Sy' to download);warning: database file for 'multilib' does not exist (use '-Sy' to download);
==> Staging the suite and the block files in the guest
==> Running the Run lab suite in the guest session (1 run per scenario)
ok - the runlab job finished
ok - producer: 1 run(s), end 48 ms (48-48), Pss after-before 96 kB, survivors 0, to empty group 0, shadow hits 0
ok - producer-stream: 1 run(s), end 850 ms (850-850), Pss after-before 84 kB, survivors 0, to empty group 0, shadow hits 0
ok - holder: 1 run(s), end 43 ms (43-43), Pss after-before 90 kB, survivors 0, to empty group 0, shadow hits 0
ok - stubborn: 1 run(s), end 3050 ms (3050-3050), Pss after-before 92 kB, survivors 0, to empty group 0, shadow hits 0
ok - hostile: 1 run(s), end 55 ms (55-55), Pss after-before -50 kB, survivors 0, to empty group 0, shadow hits 0
ok - destroy: 1 run(s), end 502 ms (502-502), Pss after-before -61 kB, survivors 0, to empty group 0, shadow hits 0
ok - cancel: 1 run(s), end 517 ms (517-517), Pss after-before 95 kB, survivors 0, to empty group 0, shadow hits 0
ok - supersede: 1 run(s), end 57 ms (57-57), Pss after-before 108 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string: 1 run(s), end 29 ms (29-29), Pss after-before 74 kB, survivors 0, to empty group 0, shadow hits 0
ok - relative: 1 run(s), end 29 ms (29-29), Pss after-before -1 kB, survivors 0, to empty group 0, shadow hits 0
ok - missing: 1 run(s), end 43 ms (43-43), Pss after-before 85 kB, survivors 0, to empty group 0, shadow hits 0
ok - controls: 1 run(s), end 47 ms (47-47), Pss after-before 88 kB, survivors 0, to empty group 0, shadow hits 0
ok - concurrency: 1 run(s), end 66 ms (66-66), Pss after-before 285 kB, survivors 0, to empty group 0, shadow hits 0
ok - forge: 1 run(s), end 27 ms (27-27), Pss after-before 76 kB, survivors 0, to empty group 0, shadow hits 0
ok - orphan: 1 run(s), end 29 ms (29-29), Pss after-before 60 kB, survivors 0, to empty group 0, shadow hits 0
ok - stalled-supersede: 1 run(s), end 63 ms (63-63), Pss after-before 100 kB, survivors 0, to empty group 0, shadow hits 0
ok - destroy-early: 1 run(s), end 300 ms (300-300), Pss after-before 68 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string-option: 1 run(s), end 31 ms (31-31), Pss after-before 76 kB, survivors 0, to empty group 0, shadow hits 0
ok - shell-string-wrapper: 1 run(s), end 30 ms (30-30), Pss after-before 75 kB, survivors 0, to empty group 0, shadow hits 0
ok - Run lab suite: 19 scenarios, 19 runs, document at /tmp/omakit-runlab/runlab.json
ok - the Run block ran its lab scenarios on the stock guest, the shell untouched; document at /home/mtolhuijs/.local/state/omakit/lab/runs/20260919-155115-run/runlab.json
